token,name,symbol,label
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,Chi Gastoken by 1inch,CHI,0
0x0000000000085d4780b73119b644ae5ecd22b376,TrueUSD,TUSD,0
0x0000000000b3f879cb30fe243b4dfee438691c04,Gastoken.io,GST2,0
0x00000000441378008ea67f4284a57932b1c000a5,TrueGBP,TGBP,0
0x00000100f2a2bd000715001920eb70d229700085,TrueCAD,TCAD,0
0x00006100f7090010005f1bd7ae6122c3c2cf0090,TrueAUD,TAUD,0
0x0000852600ceb001e08e00bc008be620d60031f2,TrueHKD,THKD,0
0x000e8a19eb6e5882de57e817ecf00fa7fa595b16,pearl.finance ,PEARL,1
0x0018e66a1dea81fdd767cbb15673119b034b5cf2,BNS Governance,BNSG,0
0x0019a8860fa173d40831d03dd2e668cfc6a59f35,EVN System Software,ESS,1
0x001bc17076d6264492287ac6ba04a42b7960e59e,Bird.Money,BIRD,1
0x001f0aa5da15585e5b2305dbab2bac425ea71007,IPSX,IPSX,0
0x0031b46fb108e79047498f9bd0751a09dfbaa84f,Coinmetro.com,XCM,1
0x003daa5b2dabd7f4512f1855dffbb0080682102c,yplutus.finance,YPLT,1
0x0044eaf9c6b03216ea829b74069bcdc1fa126f41,avax.network,AVAX,1
0x0048dc5ace0a2ed26e3aaa0f573cc4e82ab262fb,ETH-CORE,EHC,1
0x006699d34aa3013605d468d2755a2fe59a16b12b,Zild Finance Coin,Zild,0
0x006a6a9531954d4377fd2371b4c9c416400d6fae,Shinhwa  Token,SWT,1
0x006c7b41fafe9d8e105b90bb5e035c4314f62676,reflectfinance.com,RFI,1
0x0076d46eeabc1f9cec363c79b1f8424f0e7c453c,Doge Swap,DOGES,1
0x008f35d034a7055c24041609f8c04e51e97c1481,Audius,AUDIU,1
0x0091d7884c375c148e5cd7607f463a5da2990b32,Litecoin Uniswap,LTCu,1
0x00920fc4b6698e5c7f144c6ee16cb3ed9d238142,xEarn Capital,XRN,1
0x009abded37f477fcbad8f102bccb1675c92b09f6,SUN Token,SUN,1
0x00a542f9ef8464a6b64663d6ca0ca5a1b4376194,DTFswap,DTF,1
0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,AllianceBlock Token,ALBT,0
0x00b0a5f9af10e9ff334cec2875a4a0cbc1003ffd,Libra Protocol,LIBRA,1
0x00b18c52b72ef1b6011962ca263c18c451bfbc9a,GoldFinX,GIX,1
0x00bc4bcd7308bef72d039003cb59492a20835801,Datorium Finance Stake,DAFS,0
0x00c75a83cb5150f50ecd7559a4c82ec42b791934,YVF.Finance Official,YVF,1
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,SKALE,SKL,0
0x00ce26f43cc3dfe0a899ee011761066cea8d2179,XRootKit,XROOT,1
0x00d1793d7c3aae506257ba985b34c76aaf642557,Tacos,TACO,0
0x00d8308b7ac4bc8332a7d006eca41c948ddebf40,yfin.finance,YFIN,1
0x00dee61d313ea7e3631a81192f3e63a511507815,FalconSwap Token,FSW,1
0x00e84b77ec5e9b7c696fe1d4657b322315cc7e2e,JYtoken,JYT,1
0x00ebca566888012bcca521cba2c3291ddd28b958,YFSynergy,YFSG,1
0x00eca744d071cc3d497a522cc8b1aa6cf2562528,TRADE,TRADE,1
0x00fc270c9cc13e878ab5363d00354bebf6f05c15,VNX Exchange,VNXLU,0
0x0104d2dd7fd2a28f216f11f37d4b9bf8f1fd1796,Atari Chain,ATRI,1
0x010b9cc87691e8432ac1417b3ff4c9f8f61e9b8e,https://t.me/cyberfi_tech,CFI,1
0x01222eaa712c86591836f0f2e2b79a80c72e7842,YFPRO.FINANCE,YFPRO,1
0x0128e4fccf5ef86b030b28f0a8a029a3c5397a94,FlashSwap,FSP,0
0x012b736cd20d125daa4afcf7c17fba91879a51d6,Swag Token,SWAG,1
0x012ba3ae1074ae43a34a14bca5c4ed0af01b6e53,YUGE,TRUMP,0
0x0142e00e9298bafa015df9b39740ac88205b2d5f,Flame  Coin,FMC,1
0x01469b53f9dfd54ff7a97eba68c1e048575f4f8f,vape.finance,VAPE,1
0x014c88aab660916f4eabc63c6b9231094e9fa782,tlpCORE,tlpCORE,1
0x015b6f33f247ee526bfe4230f14b68c64cdbb4c4,AAB,AAB,1
0x016b6e79347fb12310e3a2ab83284f0581127efb,Matic Token,MATIC,1
0x016bf078abcacb987f0589a6d3beadd4316922b0,Rari Stable Pool Token,RSPT,0
0x016ee7373248a80bde1fd6baa001311d233b3cfa, 3X Short Bitcoin Token,BEAR,0
0x018c88d554c6dbc20b15aeaab59f992c323b5918,SUSHI V2,SUSHI V2,1
0x018d7d179350f1bb9853d04982820e37cce13a92,INMAX,INX,0
0x0197ca89cb1a21256cb4202c708e4816e4d50242,Yearn Finance Credit,YFIC,1
0x01b0fa10144f8d2d37bd3baea25ed1ebe2be5a09,YFValue,YFV,1
0x01b9f7aca53edbf45b411a7a292b0c20227beac7,btswap.com,BTSWAP,1
0x01beace2fdc8cec1ce8177076e2bec39943f0941,UniBTC,UBTC,1
0x01c8857057326b8f64dcb5cba6d802dcd132946e,ShareAt,XAT,0
0x01cafabb9f33be3d65c22469ec011b4adb20bfcb,lambo.finance,LAMBO,1
0x01da76dea59703578040012357b81ffe62015c2d,Cream yETH,crYETH,0
0x01df2b4b78a47db8c61d46aaa856b0ebe596f910,Octo.fi,OCTO,1
0x01e140367902ded57cc352bb4438b1acc7b5e4d0,CertiK,CTK,1
0x01e25fbababa24bfc0db90b681d2fa0b927b6605,REMAXD,REMAXD,1
0x01ef96b79b24771dc1727560d330d97737a789f6,Zeep3r,ZP3R,1
0x01f4d5ba49b2c1647148955e0a1d3c9c0eee1f40,Yearn Finance Cash,YFC,1
0x01fa555c97d7958fa6f771f3bbd5ccd508f81e22,CVL,CVL,0
0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,BF Token,BFT,0
0x0202be363b8a4820f3f4de7faf5224ff05943ab1,UniLend Finance Token,UFT,0
0x02044c9d2da3fd33ed800716693396eeeceef918,BitOfTrade,BTF,0
0x02048d70104baa4f6f267681a1a18161a570fc85,DogDeFiCoin,DOGDEFI,1
0x02080b9c5d393a19ff311bb41401dcdac8a0b3dc,Zilliqa,ZIL,1
0x0209ce3516587cc4a22b54c024b2ee724c117036,miniCORE,miniCORE,0
0x020d0d5ceae6678d3d9afc938a48e583ac4ee208,SUSHI V2,SUSHI,1
0x020d5e6fec03d0144a2681cfc0fd3c9255d6d7c2,MoneySwap,MSWAP,1
0x021576770cb3729716ccfb687afdb4c6bf720cb6,unlimited FiscusFYI,uFFYI,0
0x021cf14d19a23671954124a3253251492c9edc9b,Banker,BVLT,1
0x022057c3ef9166433750165bfda21d52988e0756,AlmostOne,AO,0
0x0222be1f1b8413b2d7d76ebfc9e0285c1300692f,Glox Finance,GLOX,0
0x02278e5570ed2e95429572ec18dd4ae5831d6883,Arkane Network,AKN,1
0x022f7481c4d975449a3619ca4d835446f2d8a569,StakerDAO,STKR9,1
0x0240e59e6ae33b58db7360f7c693429eab7d4ac3,BTC,BTC,1
0x0243f77b6571cfab4cc3541c3599e02d019d0c49,ethSWAP Token,ethSWAP,1
0x024c5cb183e0978d89d061ba6baeea19441abc16,TokensJam,JAM,1
0x02562776e730887cf838ea5576a4ba19e9c46897,ALBB,ALBB,1
0x0258014e3f450b5a97efec0b34046ee5df3a4882,Bella.fi,BEL,1
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,Orion Protocol,ORN,0
0x026b8d2edda7882b0612607dc0a31a1bbc1a9e1c,xBTC,XBTC,1
0x026e96a9fcfeb4436624d64408786420b42e121f,Synthetic CBDAO,SBREE,1
0x02756339d28a1af08b114ee5d8c531c9898a2b08,jplus.finance,JPLUS,1
0x0278b15daa019973ec36cd0732eaa9611e2d2ffe,tree.finance,TREE,1
0x027bec2b1281884e970f1c999680ae90d74cf32b,zzz.finance,zzz,1
0x0290b327a8583bd6fa63c130b732a808864e55fc,Midas,MDS,0
0x029177c1fd6190a8dfc85d9a3e13bf78581bd3d6,YCD.FINANCE,YCD,1
0x029c4d6a757d275a82d494282385d1b74013c599,RUBIC,RBC,1
0x02a643d43cc72671bec8beb6c163945160e50e52,TULIPBULB,TLPB,1
0x02aa56a0fcd57a57b934cff6e5274915ddfbe14c,ClinTex.Finance,CTi,1
0x02b6b98c9f855b9f058e1a6a14200663d0c06970,AMD Chain,AMD,1
0x02c4c78c462e32cca4a90bc499bf411fb7bc6afb,InvestDigital Token,IDT,0
0x02cbd176e86e363fe84cda7a6c7bb885de40b57f,yen.finance,YFN,1
0x02d2585eb37eed44f00c8488541b9d95bc68524e,DogDeFiCoin,DDF,1
0x02d5e844e5b885716db7068aa27f17378d63766b,yRise.Finance,yRise,1
0x02d9a9d0e876be9719d745c77a894714649abe33,unfuddable.finance,UNFUD,1
0x02e3048e9eb0d730ca3f5f47b890c83d571d9a35,Archangel,ARCH,1
0x02e948419babd62089cde512720acf4f46d8c0a8,Dokidoki finance,DOKI,1
0x02ec1ade01cc61c264e9ae9b2a65b42d729807e4,Terra Virtua ,Terra,1
0x02eca910cb3a7d43ebc7e8028652ed5c6b70259b,Pteria,PTERIA,0
0x02ee809fd5b99d87f6e2c8d7974e1ce16f1b4d33,EnCore,ENCORE,1
0x02f2d4a04e6e01ace88bd2cd632875543b2ef577,PKG Token,PKG,0
0x02f61fd266da6e8b102d4121f5ce7b992640cf98,LikeCoin,LIKE,0
0x03042482d64577a7bdb282260e2ea4c8a89c064b,Centaur Token,CNTR,0
0x030427ec61b32979dd6c4377838140f5f587f80e,POS,POS,1
0x0306894d1a68aaf132509f7eb092c348062d0151,Vampire.Finance,VAMP,1
0x0316eb71485b0ab14103307bf65a021042c6d380,Huobi BTC,HBTC,0
0x0319b090a3eda2d432af27c8af80c268528f1880,Marcus Garvey Coin,MGC,1
0x03241323e870b4d4df639f86188fabf256f7fc57,Mia Loin Nng,GLN,1
0x03261cd0bcb30e009da99382b53058f83eaf77c8,MantraDao,OM,1
0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,PieDAO BTC++,BTC++,0
0x03282f2d7834a97369cad58f888ada19eec46ab6,Globex,GEX,0
0x033e223870f766644f7f7a4b7dc2e91573707d06,Zin Finance,Zin,0
0x034455c8a9882bf44c9704c780a55198e05ba559,Lumos,LMS,0
0x03456f538f359a79368533d478c6e44c46fc554a,OroPocket,ORO,1
0x0347337a78d51bbb75550d258af04f5fe5efb57b,rescuecoin,RSC,1
0x034b14ffba61cf4f3c823f4dd92e0d70679a8af5,Keep.Finance,KEEP,1
0x035824ceddba0e473e217b43eaa7d0e6ddeddd93,Bosom friend Coin,BFC,1
0x035bfe6057e15ea692c0dfdcab3bb41a64dd2ad4,Universal Liquidity Union,ULU,0
0x0362eb0cbb99175a8148c57b87f0d11b5af74714,Rarible,RARI,1
0x0369d05ad1812253371889b18d5f2496935fa1f8,QuickSwapProtocol,QSP,1
0x0374a144f799bc64ec00c03dbb9065ad19e84c4e,Dracula Network,DMN,1
0x037a54aab062628c9bbae1fdb1583c195585fe41,LCX,LCX,0
0x037e13e7578c2bd6222fc019a9b9653db007c78b,UNIBLOCK.FINANCE,UNIBLOCK,1
0x038046037213748c71e11a6919a822e5d5448038,ACDEX,ACXT,1
0x03829f5675f3b51d0f8c2a74417a757625acf22f,YFIBALANCER.FINANCE,YFIB,0
0x038500ff8e3829efe09bbc91abdc1e10104e92cd,Digital Twin Agreement,DTA,1
0x038842613c484e868c5c296c333a5aca336453d7,EPIC Token,EPIC,1
0x0390046efdac8268ddb83c58e021ff3c910ff31e,Chromia,CHR,1
0x0391d2021f89dc339f60fff84546ea23e337750f,BarnBridge Governance Token,BOND,0
0x039b4881b6ef3fdb4da50970ac1ecf8e5d38bbbd,DEFILOANS TOKEN,DLT,1
0x03a5c5f12bd0bbae973215b1c184ff3ce9942cfc,YFI BINANCE,YFIB,1
0x03aa2ba75a5e497e4c3532ef6f60264c6199bcee,ultra.io,UOS,1
0x03aca1181ade0509fd3e7175e5895a2fba90ceea,UniverseV2,UNV,1
0x03bb9bbf0423e44370e88ec5fc31eecf4e2b4ac2,STVKE.Network,STV,1
0x03c20fa7763bc616bfd1097d78cee8386bdf94d1,ycvault.finance vault,YCORE,1
0x03c50991829f6920a12fac8fe79d934cc544ee99,desire.finance,DESIRE,1
0x03e7055afa4a1e91ea94959009931ee3a830421f,AntiTenSpeed.finance,ATENS,1
0x03e72da40dd355f21a2c3b09bbd43b765d2d68b0,HYVE.works,HYVE,1
0x03e7438aef0cf54ab0c25ce3e71861d288ceb543,SoftLink,SLINK,1
0x03e8f56ad0d759bcfff960863388bfdb2efd1579,yearn.finance cash,YFI CASH,0
0x03ebb92bc2d4c68120b82859b76599bea91541f2,Aeolus DAO,AEO,1
0x03ec7bb59be036870ef696a2abf124f496d6735a,Sancoj,SANC,0
0x03ed890912679a0796c759e0224f32e1a3b2f0b7,YearnLending.Finance,YLFI,0
0x03f1fd90f7fddaccb3cc593a5a35889cccdef777,UniMex Token @ UniMex.Finance,UMEX,1
0x03fb52d4ee633ab0d06c833e32efdd8d388f3e6a,Black Hole,HOLE,0
0x0403691e3432038ea34ac4b634bbd9333a65eac5,YFICirculation@(YFICirculation.info),YFIC,1
0x040663286278ffb8c9558adedc419a8df489ff78,NFTLootbox,LOOT,1
0x040b1a7ec0ef64fcc4359ad1a26d25a0327ffc31,nova mining token,NMT,1
0x0417912b3a7af768051765040a55bb0925d4ddcf,Liquidity Dividends Protocol,LID,0
0x0417e5d63a18d3633518036e381fce2bc4718176,Shell,Shell,1
0x041ada80e705a47fabf71f22b3fc95821744bc42,MEME-V2,MEME-V2,1
0x041f79a26c5db2cda8716ea2ff0b26c33e718e3f,Unihex,UHEX,1
0x041fdd6637ecfd96af8804278ac12660ac2d12c0,SwapDEX,SDX,0
0x0423276a1da214b094d54386a1fb8489a9d32730,kusama,KSM,1
0x0425c5b3145658079fde7b7b87c3bfa981b6198d,Tokens Jam,TJM,1
0x0428328f26e97118b03535695c61474b604273d6,definer.org,FIN,1
0x042afd3869a47e2d5d42cc787d5c9e19df32185f,Hotpot Base Token,POT,0
0x0436925b9a5cb98b56bb5bdd82abd3cfd629cf80,Fompound,FOMP,1
0x044ac47a7270878a17b56c6baadd485fb6200e72,xBAN,XBAN,1
0x04516ff6cafbb1c78a62ec776e7e0694e3b66344,OS.FINANCE,OSUP,1
0x0452aed878805514e28fb5bd0b56bef92176e32a,BPOP,BPOP,0
0x045eb7e34e94b28c7a3641bc5e1a1f61f225af9f,ZPAY,ZPAE,0
0x04616aa7d31f759acc6a096d277a2ea12ab2298b,xcore.xfinance,XCORE,1
0x0462a453c194c176c94a38f1a2ac786baf05ab2b,USDF,USDF,0
0x0473a7114f5f5cec1a9581e73b2ea7b2ba0790e8,SKALE,SKL,1
0x047605d74daa836351d57586aa6fb00abcdac711,Axie Infinity,AXS,1
0x047686fb287e7263a23873dea66b4501015a2226,Cute Coin,CUTE,0
0x0478d05f4960fa5c7880a6346a5dd10d894e87ef,UNISWAP V2,UNI,1
0x048501485dfda67eb913bb08699a77302a369231,yearn farm smartchain,YFS,1
0x0487ac46bd41f4b734e08eab479330e3bd9b6cf5,Flash,FLASH,1
0x0488401c3f535193fa8df029d9ffe615a06e74e6,SparkPoint,SRK,0
0x048fe49be32adfc9ed68c37d32b5ec9df17b3603,Skrumble Network V2,SKM,0
0x049d6c8a9592e29884801a7aafb0f7ac66a7e22c,LOKI.FINANCE,LOKI,1
0x049fab818c3893d8bdc5c5da3dcdf8b726b8ffde,Dego Finance Token,DEGO,1
0x04ab43d32d0172c76f5287b6619f0aa50af89303,unilock.network,UNL,0
0x04abeda201850ac0124161f037efd70c74ddc74c,NEST,NEST,0
0x04b1be14b0f5e7e5ff3f6b279e824a10d45f4836,amon.tech,AMON,1
0x04b5e13000c6e9a3255dc057091f3e3eeee7b0f0,UNIFUND,iFUND,0
0x04bded3911d7f7403e47c4c0b24952bdbb6e6de8,CMN,CMN,1
0x04bee0c5c905f048809bdccd1044fb6517f1caed,PI Network,IUE,1
0x04e3eeddb1dfbfbcd668dd10318d290a6f2d00bf,Orb$,ORB$,1
0x04eb71894e847d2057a540e465ceb423404bc0ee,Reef.Finance,REEF,1
0x04ed15fa8c47778589c1bf3451e0de25c1eed3ae,ALEX,ALEX,0
0x04f135587e379253d19f77c5e6c90d2c280aa947,FINDEX,FIND,1
0x04f457361686a8ec89210932d3f35d69afe90510,jsb.foundation,JSB,1
0x04f941382d5ba59478675964ad9fe883f2908456,Wrapped Anatha,WANAT,1
0x04f9d8f227f91fd69830abb99e6bd54e5f37a31e,Yearn.Gove.Finance,YGF,1
0x04fa0d235c4abf4bcf4787af4cf447de572ef828,UMA Voting Token v1,UMA,0
0x04fa0e3c9bfd38d01956846cd41748bc3192324f,SWAP,SWAP,1
0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,Walnut.Finance,WTF,0
